,User,Location
5920,cafenofilo,Santander 
5921,tejera_jairo,"Bogotá, D.C., Colombia"
5922,Servilogistica5,
5923,Alcalde1169,"Bogotá, D.C., Colombia"
5924,JHONJAIROV,
5925,lamermeladanoti,Colombia
5926,waldaana1,
5927,juandapanda01,
5928,alexosoga1,
5929,Laurandrec,
5930,jlmolinares,Barranquilla. Colombia
5931,juanpenagosc,"Sopó, Colombia"
5932,AndresMacias,"Bogotá, Colombia"
5933,Adelante_Col,Colombia
5934,mavi698,"Cali, Colombia"
5935,luisfdoarcon,Colombia
5936,Juan00504554,
5937,VeronikaArella2,
5938,LaConch90293596,"Valle del Cauca, Colombia"
5939,rjpcomunero,"Bogotá, D.C., Colombia"
5940,Nydia1953,Bogotá
5941,RichardPerezDo2,
5942,femarquez14,
5943,JuanManVi,"Cali, Colombia"
5944,Salamac,Colombia
5945,byronadolfovald,Bogotá
5946,rubenalvarezc,"Medellin, Colombia"
5947,hfelipehb2018,"Bucaramanga, Santander."
5948,OpDiletante,
5949,mapaesgu,
5950,ElSatrapa_,"Albuquerque, Cundinamarca"
5951,JairToro6,Copacabana/Antioquia
5952,a2371028,
5953,sofiapgutierrez,Colombia
5954,MaraQuintero21,
5955,phoetapholitico,"Medellín, Colombia"
5956,MileContrerasG,"Tunja, Colombia"
5957,MIGUELRAMONPYM,"Bogotá DC, Colombia"
5958,NOBLEGuerrero12,
5959,Davidc926,
5960,YamilaSantosS,
5961,robertpenuela,
5962,CristhianShaves,"Bogotá, D.C., Colombia"
5963,mandingo_og,
5964,juanf2p,Colombia
5965,FelipeCano2021,
5966,CarlosA90758944,"Tibú, Colombia"
5967,sebastianchis,
5968,DilianFrancisca,"Cali, Valle"
5969,BENDER_ADVENGER,Colombia
5970,gordojocape84,
5971,usuariotwo,
5972,CesarABT76,"Bogotá, D.C., Colombia"
5973,asintomtico4,
5974,NataParaca,"Bogotá, D.C., Colombia"
5975,VeraMeylin,Colombia
5976,HerminiaSnchez5,
5977,Fernand75841993,
5978,Charlieblackbe3,
5979,Cabustamante11,"Pereira, Colombia"
5980,Noimpor46013451,
5981,berenicebedoya1,"Antioquia, Colombia"
5982,ficobodeguita,Colombia
5983,AnSalenero,
5984,Edison86378877,
5985,tokinaki,Señor en ti espero y confio.
5986,Jriosru93,"Medellín, Colombia"
5987,DuvanMaurici,
5988,_UnO_F,Polombia 
5989,mastrxsviento,BOGOTA
5990,alirio_don,
5991,FreddyCoyG,
5992,Santto50634537,
5993,alex_celist,
5994,felipe_alvaran,Colombia
5995,manuelazuly1,
5996,EliasPalomeque,Colombia
5997,AlrekCo,Colombia
5998,Michicus1,
5999,NayeliMartin9,
6000,negro871511,
6001,MisterThunder,Bucaramanga - Madrid
6002,rafaelnoyagar,Santa Marta Col.
6003,julioaorozco,"Barrancabermeja, Colombia"
6004,jjospinab,colombia
6005,colombog7,COLOMBIA EL MEJOR VIVIDERO
6006,SenorDerecha,"Bogotá, D.C., Colombia"
6007,elvirammar,
6008,DylanLizarazo1,"Bogotá, D.C., Colombia"
6009,Stefan92117122,
6010,industriasdysa,"Cali, Colombia"
6011,HeyOpino,#REFERENDOYA
6012,elpensante001,Colombia
6013,MiguelA39928832,
6014,OrientadosO,
6015,andavila197926,
6016,BryanYellow66,
6017,carlosg52472492,
6018,Marques73583844,"Cali, Colombia"
6019,davidnesher,"Mendoza, Argentina"
6020,rodrigodoble0,
6021,dontamalio,"Ibagué, Colombia"
6022,jorgeivl,"Medellín, Colombia"
6023,MIGUELP77895620,
6024,dantsisrojas,Bogotá
6025,AndresSuarez724,
6026,Aldeana67944701,
6027,CesarAl01018642,
6028,Camiloenz,Bogotá - Pasto
6029,lcolmenaresr,"BOGOTÁ, D.C."
6030,EmmaClaudiaC,Bogota
6031,monik_amaya11,
6032,gustavoadotor,"New York City, New York"
6033,Manuel_vodniza,
6034,riveros_molano,
6035,jorgitoemiliano,Colombia
6036,SuMamerto,"Chía, Colombia"
6037,hernanhavs,"Bogotá, D.C., Colombia"
6038,NoticiasRios,"Los Ríos, Chile"
6039,AlbertVillarru1,"Barranquilla, Colombia"
6040,wafcvr,Manizales
6041,KalleyMovil,Colombia
6042,Miguellvaro9,
6043,_SofiaMarin_,"Bogotá, D.C., Colombia"
6044,JohnfMsbt,pto berrio
6045,johanbedoya47,"Peñol, Antioquia, Colombia"
6046,Paysantndereana,
6047,juano191,Bogota - colombia
6048,Chap02906556,
6049,MrGaminGrey,Macondo..✌️
6050,DuvanOrdez1,
6051,GUSTAOV95,"Calima, El Darién."
6052,CASANTAMARIA,COLOMBIA
6053,EmmaYah33, CITY YEHOVÁH 
6054,JuangalinJuan,"Medellín, Colombia"
6055,marcelacamero2,
6056,charlieco19,
6057,Joaquin90998249,
6058,memorias_col,Bogotá
6059,judith_polo, bogota  
6060,beckycita98,
6061,Ernesto89787697,
6062,davidLeonardo,Desde el lugar de la Noticia 
6063,cesararboleda,cali colombia
6064,edwarley22,
6065,TrEsEs_,"Manizales, Colombia"
6066,sandra_oyuela,Bogota
6067,Insurgente_88,
6068,2bdc7ef1a075498,
6069,yolitaroja,"Bogotá, D.C., Colombia"
6070,Isab_024,
6071,jhonjamesOG,Colombia
6072,JimenaCastill11,
6073,JhonnatanOviedo,"Montería, Colombia"
6074,cesarleal1975,cali colombia
6075,SaBrand01,"Bogotá, D.C., Colombia"
6076,luciarobleslu,"Barranquilla, Colombia"
6077,javipradamusic,de Colombia
6078,IvanDarioGavir3,"Arauca, Colombia"
6079,galin_enrique,"Bogotá, D.C., Colombia"
6080,Pisangas,Colombia
6081,camilodelgadoh,ibague
6082,Alejand74788105,
6083,Yo_Embeleso,Planeta Tierra
6084,anatiboll,DEPTO NARIÑO
6085,jonjandy,
6086,Marafer92696078,
6087,elviamaria0903,Con la cabeza dandome vueltas
6088,juanrue52579841,
6089,fjgonzalezj,Colombia
6090,LESComputer,"Barrancabermeja , santander"
6091,camito78,
6092,eventosyservic1,Bogotá Colombia
6093,afpinedarios,
6094,trinopaminondas,Aquí
6095,HDUEAS,COLOMBIA
6096,Yulinocua,
6097,TeAmColombia18,
6098,jairoceballos,HELL
6099,albaricoque3929,
6100,patguer11,"Washington, DC"
6101,VerdadEnCrisis,
6102,SusanaCelmira,
6103,crislondonod,Colombia
6104,Avilosky_05,Bogotá
6105,DeGreiff,"Envigado, Antioquia"
6106,un_calle,"Bogotá, D.C., Colombia"
6107,Elijamos_Bien,"Cali, Colombia"
6108,AlzateVirgilio,
6109,DigenesArrieta1,
6110,heinermina29,
6111,JJMC0811,
6112,eliasargoti1,"Cali, Colombia"
6113,BolivarTeodora,"Bogotá, D.C., Colombia"
6114,robertoriverosa,"Bogotá, D.C., Colombia"
6115,giortega75,
6116,arielzambrano68,
6117,danield51030727,
6118,GuillermoLGAri1,"Cauca, Colombia"
6119,MarcoMendivelso,colombia
6120,aarboledam,
6121,Otro_Indignadoo,
6122,GandalfCriollo,"Chicago, IL"
6123,Pedro_Leyva,"Norte de Santander, Colombia"
6124,AbogadoLitigios,"Bogotá, Colombia"
6125,Jairo20John,MEDELLÍN A MUCHO HONOR.
6126,INLOMEGA,bogota
6127,anfemove,
6128,JUANFER83156640,"Rionegro, Colombia"
6129,Humberto3049,
6130,luiscarloscante,
6131,CacerolaR,
6132,Andrescerong,Cali - Colombia
6133,JGalloComunes,"Bogotá, D.C., Colombia"
6134,OscarNa82375380,
6135,LesterDavidCam1,
6136,ObservatorioHi2,
6137,GuzmanBogota,
6138,MAURICI31449902,
6139,vladochave,Hermoso lugar
6140,RafaelADelgado7,
6141,josegabrielfons,
6142,NunezArciniegas,
6143,Ivan65176500,
6144,SrCuloOpinador,
6145,porraspacho,Colombia 
6146,mauriciorinco18,
6147,Elberraquillo,
6148,LeeHzll,Polombia
6149,Nicolasri191,
6150,riteojim,Colombia
6151,larocantc,COLOMBIA
6152,BlancaC34111157,
6153,jonathanelvis,Bogotá-colombia
6154,FarithTulio,"Pueblo Nuevo, Colombia"
6155,milena_amaya_,"colombia, Armenia Quindio"
6156,marvinmedina,Miami - Bogota
6157,LaPazColombiani,Barranquilla - Colombia.
6158,PartidoASI_,
6159,john44263648,"Bogotá, D.C., Colombia"
6160,frank528,"Bogotá, D.C., Colombia"
6161,CarlosARiosL,"Cali, Colombia"
6162,Ana_Fernanda20,"Bogotá, D.C., Colombia"
6163,otroqvinoajoder,
6164,Rossyross17,"Cali, Colombia"
6165,andpilhi,
6166,aliciasarmiento,Cali-Colombia
6167,Juancho74131,
6168,siemprestareaki,
6169,ClaraLuna1966,Reino de Arabia Saudi
6170,Martinelias66,
6171,florazulvioleta,Valle del Cauca & Bogota DC
6172,Esteban93468693,
6173,AngelaBolanos17,"Popayán, Colombia"
6174,mls2042847,Colombia
6175,oscaredilher,
6176,christianmatiz,"Cali, Colombia"
6177,fabermunoz1,"Popayán, Colombia"
6178,CULEBR0,"Medellín, Chibchombia."
6179,jpradach1,Bucaramanga
6180,RoberCuello,Colombia
6181,DiegoPintoDiaz,
6182,FelipeR098,
6183,rahlspeedy14,
6184,HernandoFranc0,
6185,gloripatro17,"Bogotá, D.C., Colombia"
6186,julibenacho,"Bogotá, D.C., Colombia"
6187,IVANORLANDOCon1,
6188,25Jc4,Colombia
6189,fabiofruizr,"Bogotá, D.C., Colombia"
6190,JHERUS,"Cartagena, Colombia"
6191,TruthColombia,"Bogotá, D.C., Colombia"
6192,barreraulises,Colombia
6193,Rjuajuajuan,
6194,EleMartinez21,
6195,UberleyRivera,
6196,Joseaco83845558,
6197,AnyurisTinoco,
6198,MiltonRm12,"Cúcuta, Colombia"
6199,largo_aqui,
6200,AndreSaenzSoto,
6201,Elpepe57436283,
6202,Yezzzy1Felix,"La Fosa Común, Polombia"
6203,MetauteRestrepo,"Medellín, Antioquia "
6204,clarisbta,
6205,angieram51,
6206,Javier_ot9876,
6207,Ricardo_ARANGO_,"Ile-de-France, France"
6208,Fennix73,Colombia
6209,ManFernandez3,
6210,PaulFranck1,"Manizales, Colombia"
6211,SEDEBUENAFUENTE,
6212,Cirodelg,Popayán
6213,OrlandoCortesg2,Colombia
6214,Pass17oficial,Colombia
6215,raul_acostap,"Bogotá, Colombia"
6216,TatanQuintero5,"Palmira, Colombia"
6217,juarnales,Bogotá 
6218,HULOVI1,
6219,pulgarinfreddy,
6220,Yaizass54,En la naturaleza
6221,AmarisCampo,
6222,GarabatoG,"Bogotá, D.C., Colombia"
6223,Szyslaky3967,"Medellín, Colombia"
6224,EVJ772,"Cúcuta, Colombia"
6225,Nexandes,
6226,Katheri56171772,
6227,Leobardocorred1,
6228,Monte00Lorena,
6229,Perseo7o,
6230,lexotuta,United Estates
6231,Orlandorcu,"Bogotá, D.C., Colombia "
6232,Mazcar17,
6233,cyplazas,"Sogamoso, Colombia"
6234,jitomitsu,Bogotá
6235,GerardoVegaMed,Colombia
6236,patodu35,"Quindio, Colombia"
6237,guitardedos,
6238,alejandrorangar,
6239,Arthur011373,"Bogotá, D.C., Colombia"
6240,ascendenthe,
6241,malpensante19,Medellín
6242,asiestayya,"Soacha, Colombia"
6243,Laputapolitica,"Medellín, Colombia"
6244,Doblaa_,
6245,8409dario,"Bogotá, D.C."
6246,c9a11bf6ad3e447,"Cúcuta, Colombia"
6247,SrSueno,"Hell, Michigan, USA"
6248,ConnieAlfonso5,"Bogotá, D.C., Colombia"
6249,MocionesVida,"Cali, Colombia"
6250,laos1950,
6251,hansolo041979,"Knoxville, TN"
6252,Harry68987419,
6253,alexsaray,Bogota
6254,AlejoTorresQuin,
6255,CardonaEvlin,
6256,rodolfomedinar3,"Bogotá, D.C., Colombia"
6257,Usedcloned,Colombia
6258,GermanSalazar07,"Virginia, USA"
6259,LaPiranamuecaco,
6260,CarvieiraRave,
6261,JohnBermudezG,"Bello, Colombia"
6262,fabian_amadeo,
6263,pepitap926,Planeta Tierra
6264,Nimi27988415,
6265,PizarroMariaJo,"Bogotá, D.C., Colombia"
6266,AlbaLu2012,Bogotá
6267,AdrinZigaEstra1,
6268,SergioAMurcia94,"Cúcuta, Colombia"
6269,wilmarclavijo,Colombia
6270,JorgeBa71800351,
6271,jorgeguevarafz,"La Guajira, Colombia"
6272,Carlos77368086,
6273,proteoandante,"Bogotá, D.C., Colombia"
6274,patriciamohe,
6275,akhenatton_,
6276,prudenciosamaca,"Samaca (Boyacá), Colombia"
6277,ElQueLosCritica,Colombia
6278,REDC69,COLOMBIA    
6279,PadillAnibal,Bogotá
6280,TorresVictorH,
6281,AndresMoncayoG,
6282,edicsonandres1,Colombia
6283,jua11se,Caldas-Colombia
6284,fabioandresp,CHINCHINA CALDAS
6285,SomosEnMarcha,Colombia
6286,francko1974,Bogotá D.C
6287,j_ames84,"Villavicencio, Colombia"
6288,juanito2525,
6289,Tonnypalenciac,Cartagena
6290,Rubenchoelzorro,
6291,HHeraque,
6292,leonsarmiento,"Cartagena, Colombia."
6293,CharlyMunevar,
6294,JorgeMo60104914,
6295,LaClavijo_,Bogotá
6296,Joanscortes,"Bogotá, D.C., Colombia"
6297,Orlando40658394,
6298,MauledouxNorma,"Pereira, Colombia"
6299,sexofspeak,
6300,Agufonse,Colombia
6301,MrSatan88,
6302,CurreaAndresH,Colombia
6303,brian_fuentez,"Bogotá, D.C., Colombia"
6304,Augustoagudelu,
6305,sebasarte,bogota  colombia
6306,darwin_an95,"Aguachica, Colombia"
6307,petervella11,
6308,AdrianM99335339,
6309,alhajasid,Ibagué-Colombia
6310,SanandoHistori2,
6311,JosIMercado2,
6312,Prada355,
6313,GREENINK7657,Colombia
6314,joharbadel,"Bucaramanga, Colombia"
6315,Wilmerlealp,"Sogamoso, Boyaca"
6316,nalonso74,
6317,AlvaroR85562709,
6318,InstitutoMerani,Bogotá - Colombia
6319,bluesnata,"Bogotá, D.C., Colombia"
6320,RobinsonLopezA,"Medellín, Colombia"
6321,buenfranco,"Medellín, Colombia"
6322,Wiyiam,"Bogotá, Colombia"
6323,angelikb_maria,
6324,Dreadvid,Bogota
6325,Army_Sergeant_,Bogotá
6326,elkinandresrome,"Medellín, Colombia"
6327,lcaladua,Colombia
6328,matro_o,
6329,diosasdelporno_,Colombia
6330,Ginnisjasdil,
6331,AfricanoGil,
6332,chirrimaria1,
6333,Maria_LeonorP,Colombia
6334,hemedinac,
6335,BlancaMRuiz,Bogota
6336,HectorOlayaJaco,"Valledupar, Colombia"
6337,Aladiestra1,
6338,daniel_bystereo,Donde la comadre de su madrina
6339,PEDROCA76994100,
6340,LeonPkva,
6341,luznellyg0976,"Manizales, Colombia"
6342,FAceldas,
6343,Atilaelreyunos,La conciencia 
6344,Arturo_alvis,"Cartagena, Colombia"
6345,giancarlobondin,
6346,FisicoImpuro,"La Fosa Común, Polombia"
6347,luchocalidad,
6348,lfsandoval71,
6349,maparoga,
6350,pepoalejo,Bogota
6351,Ralopezco6,"Bogotá, D.C., Colombia"
6352,Emily93646742,
6353,ROSITAGUEVARA17,
6354,eugeniamass57,
6355,montoyalf,
6356,ArmandoVillotaE,"Pasto, Colombia."
6357,afelipejimeno,"Bogotá, D.C., Colombia"
6358,JohnSegoviaBaez,
6359,MaraDol24716418,
6360,ViejoEdy10,Bogotá D.C. Colombia
6361,elososaurus,
6362,Catalina2002,"Manizales, Colombia"
6363,GonzaloEugenio5,"Medellín, Colombia"
6364,crisssoul,"Bogotá, D.C., Colombia"
6365,patrimarsan25,
6366,AndreesGomeez,medellín
6367,Daniiconde2,"Bogotá, Colombia"
6368,kamilopez2019,"Popayán, Colombia"
6369,HenryBe17205953,New York
6370,willdher,La Palma
6371,joseadan75,
6372,FabianPatarroy1,Armenia-Quindio
6373,BastoAlma,
6374,Cefoquin,"Cartagena, Colombia"
6375,DianaQuirosPh,"Medellín, Colombia"
6376,HERACLITOL,"Bogotá, Colombia"
6377,johnharoldg,Ibague -Tolima
6378,JuanPabloCalvas,"Bogotá, D.C., Colombia"
6379,AlmeidaAyarit,
6380,AvionetaTriste,Bogotá - Cali - Colombia
6381,EdwardV86834919,"Cartagena, Colombia"
6382,SandraMCita,
6383,leonardojo3,
6384,AlbeiroCardonaR,
6385,nestoriano,Medellín
6386,Gildard85733267,"Envigado, Colombia"
6387,foodconciencias,
6388,wmurillo71,Medellín
6389,THEOROSIURIS,
6390,luzele0120,
6391,martacgu,"Medellín, Antioquia"
6392,NelsonReyes13,Bogota - Colombia
6393,juanitacatano,Cali
6394,edwinquintero,Piedecuesta-colombia.
6395,PissoHenry,"Bogotá, D.C., Colombia"
6396,robertoasalgado,
6397,iGrockON,
6398,luis_ro87,
6399,germanvrgs,"COLOMBIA, Bogotá."
6400,David_Miranda__,hay mismo
6401,Blabla11875537,
6402,JOHNGARZONLEON,Ibague
6403,cgabrielvg,"Chía, Colombia"
6404,suarezduranrica,
6405,PattyBello2,
6406,labrujakvuela, En algún bosque encantado
6407,sanlia999,
6408,EderMunozEscala,Bogotá
6409,BogotaSoy,
6410,Pipekmacho,"Cali, Colombia"
6411,alonsoceres1,"Medellín, Colombia"
6412,flamihup,"Bogotá, D.C., Colombia"
6413,javila370,
6414,ale_1982_,Bogota
6415,sigisalazaro,"Pereira, Risaralda"
6416,CamilaL75539792,"Bogotá, D.C., Colombia"
6417,carlosfer333,Cali
6418,AngelinaYunes,Barranquilla
6419,Edgar4256,
6420,yaNOmascolombia,
6421,camo_lo,Australia
6422,luzandrade8263,"Bogotá, D.C., Colombia"
6423,kkotrino,every where
6424,LFVanegasC,Pereira Colombia
6425,vittorio4,"London,ON.Canadá"
6426,ANDRES5837,"Armenia, Colombia"
6427,girodriguezc,Bogotá D.C
6428,felixtigo,
6429,84LOBO,
6430,thomasont_,"Pasto, Colombia"
6431,a_siniestra,
6432,PachoBran,Medellín
6433,andresidarragaf,"Bogotá, D.C., Colombia"
6434,JuanPalacio2018,"Armenia, Colombia"
6435,GloriaM61303702,
6436,kpruiz19,"Barranquilla, Atlántico"
6437,GatoMota,País de Nunca Jamás 
6438,JulianPineda_R,"Bucaramanga, Colombia"
6439,joremilio_3,BOGOTA
6440,kikepinerospaz,
6441,JhonBernalC_,Colombia
6442,michelleobandoc,Cali 
6443,PactoHistoricoY,
6444,AndresGaitanU,
6445,Bivian98976624,
6446,ToledoAcebedo,
6447,APOLOC8,Delaware
6448,vozdetrueno03,"colombia ,cartagena"
6449,canossafrank,"Bogotá, D.C., Colombia"
6450,Felox70,Bogotá D.C.
6451,jecorrea55,
6452,santiagopolis,"Tampa, FL"
6453,gloritamontoya,
6454,HenryOpina,
6455,josephquiroz27,"Santander, Colombia"
6456,RDRIVERA,"Rionegro, Antioquia"
6457,EliseoCampos20,Bogotá 
6458,samtoy20,
6459,wilsonjatafur,
6460,theboris78,
6461,jucaparbol,Antioquia
6462,Daniel_bernal37,
6463,joselitocarnava,Bogota
6464,Jairovolpe1,"Barranquilla, Colombia"
6465,FelipeCayetano3,
6466,LEFLECRUZ,Ibague
6467,javiorozco86,Colombia 
6468,fatherdj20,"Bogotá, D.C., Colombia"
6469,fannymar05,
6470,Rafaristizabal,"Bogotá, D.C., Colombia"
6471,BelisaurioRex,Banana Republic
6472,aliskaird,"ÜT: 10.6121364,-72.9733973"
6473,juguga,
6474,FedeRomeroC,PESCAITO COLOMBIA 
6475,Charliegar6,"Ibagué, Colombia"
6476,NestorTours,Colombia
6477,Marobo71,
6478,lcgomezl,
6479,ivanlas31,bogota
6480,montezuma4max,
6481,DanielSamperO,Bogotá
6482,ECLIPSE93041968,
6483,adelve3,FUNDACION - MAGDALENA
6484,jho_______,"Bogotá, D.C., Colombia"
6485,jorgeadrianmu,"Popayán, Colombia"
6486,ConductoresBAME,"Medellín, Colombia "
6487,Carlos03498621,Colombia
6488,AstridSaldaa10,
6489,TutoCaicedo,Bogota
6490,JorgeValHammond,"Bogotá, D.C., Colombia"
6491,Alejandroliz11,Colombia
6492,LALITOON,colombia
6493,La_Sachica,
6494,nechoalvarez,Bogotá - Colombia
6495,AnamarlGarcia,Bogotá Colombia
6496,acastel,Internet - Libre
6497,EJuenzamo,"Bogotá, D.C., Colombia"
6498,luismipinto71,"Bogotá, D.C., Colombia"
6499,NEPTUNO92073415, 🇺🇸
6500,Collazosjose1,
6501,BettyCortesRod1,Colombia
6502,martha_spoerri,
6503,LidaAguillon,
6504,CesarJerezM,Colombia
6505,Alparaco_6402_,"Floridablanca, mano"
6506,Emprendedorcri1,
6507,IngJavierB86,Bogota
6508,Mr_Km,Medellin - Colombia
6509,AngeMartinezT,Bogotá-Colombia
6510,Juandi2341,
6511,DiegoalejoUC,colombia
6512,jimmyza66,
6513,nukanchy,Cali Colombia
6514,Cortes_Kinder,https://youtube.com/channel/UC
6515,tavo2366,
6516,Teaall7,"Fonseca, Colombia"
6517,juanferdiazne,"Montería, Colombia"
6518,Pedro13051974,
6519,eliamvillalba,en cualquier parte del mundo
6520,pachajoa68,
6521,CarlosS27625519,
6522,RAFAELCOLOMBIA,"Bogotá, DC, Colombia"
6523,giovas16,Bogotá
6524,Correa7Jaime,"purificacion, tolima"
6525,CamiloAng2801,"Bogotá, D.C., Colombia"
6526,MementusUp,
6527,olgasaray75,
6528,LaMonaFernandez,"Bogotá, D.C., Colombia"
6529,caretoche,
6530,evargasd,"Bogotá, D.C., Colombia"
6531,Moro_kuni,
6532,Loucypher0,"Bogotá, D.C., Colombia"
6533,luisjavier1006,Colombia 
6534,fercholoza,Colombia
6535,BeatricitaTauro,Mamertolandia
6536,lfer76,"Amazonas, Colombia"
6537,CamiloG90377601,
6538,GORAmirorozco16,Bogota
6539,LuchoArizaP,Colombia
6540,VelozMike21,
6541,CamiloRomero,Colombia
6542,jtovar_sofia,"Bogotá, D.C., Colombia"
6543,carolinaenparo,
6544,JaoElvia,De aquí y de allá.
6545,Alma96588105,
6546,GermanPalmatv,
6547,wilsontorresj,"Berlingo, Lombardia"
6548,andresmuvi,Colombia
6549,Brianjosue,"Medellín, Colombia"
6550,CadhubevV,Colombia
6551,CesarPatiogarc1,
6552,midasmckalister,El Carajo 
6553,pabautistaq,
6554,juanca908,
6555,VillavoEsUnMeme,
6556,rubenlozanopena,
6557,PrensaLibre__,Colombia
6558,labvaboga,BOGOTA - COLOMBIA
6559,_Cavernicola_,Colombia 
6560,AfricanoCac,"Buenaventura, Colombia"
6561,Rafael19704114,"Miami, FL"
6562,Pitota09,Medellin
6563,dyego_otero,"Cali, Colombia"
6564,javierecheverry,
6565,Multiusos6,
6566,PICOARRIETA,COLOMBIA
6567,EdwingProgresi1,"Saravena, Colombia"
6568,PiolnColombian1,
6569,miguelhbejarano,"Bogotá, D.C., Colombia"
6570,echaoPalantee,everywhere 
6571,fdbedout,"Miami, FL"
6572,EdgardoPabuena,
6573,NeutraZord2,
6574,mao_velasquez,Global
6575,JollyTe,
6576,hgc1720088,
6577,DaniSie,
6578,Psicosantiagom,
6579,Linadevejarano,
6580,PortalLaOtraVoz,Colombia
6581,jhonguerrero_1,"Toda, Colombia"
6582,luisvarela888,
6583,ElMontaez2,"Bogotá, D.C., Colombia"
6584,nacpc92,
6585,LaquecalaCalana,Colombia
6586,calberto1960,Facatativa
6587,kikecabralesCD,"Bogotá, D.C., Colombia"
6588,JavierG46158042,
6589,tiempolibre47,Totalmente al centro en el pla
6590,giofg,
6591,Jagarridod,Colombia
6592,Jose94772247,
6593,Fednacosta1,
6594,adrno4,"Barranquilla, Colombia"
6595,waratshii,
6596,ALBERTOGOMEZPER,CARTAGENA-COLOMBIA
6597,6jjleconde6,San Juan de Pasto-Nariño
6598,la_dolce_vitta,"Sincelejo, Colombia"
6599,Av911Jesus,
6600,Tomsawyer_99,
6601,EstebanMunozyk,"Chía, Colombia"
6602,JaimeJosephP,España
6603,SrtaBovary,"Bogotá, D.C., Colombia"
6604,josejarz,
6605,GermanZambrano4,"Pasto, Colombia"
6606,GarayLama,Santa Fe
6607,Dnotaprensasoci,"Neiva, Colombia"
6608,Aarodriguezc2h1,
6609,EmelRojasC,"Bogotá, D.C., Colombia"
6610,MaoNandito,"Bogotá, D.C., Colombia"
6611,leondespierto21,
6612,Maurici83284229,
6613,maoperezpa,
6614,LuisGPerezCasas,
6615,dreplica2020,"Bogotá, D.C., Colombia"
6616,ChriGarces,Colombia
6617,luedma42,Cúcuta
6618,jedgut,
6619,Francis04056207,
6620,fabianhiguera24,"Bogotá, DC, Colombia"
6621,Falex3612,"Manizales, Colombia"
6622,FabianNavas16,
6623,NANA010775,BOGOTA
6624,jhonortizgomez3,
6625,Alexand20885966,"East Hampton, NY"
6626,MCARTUR76546262,
6627,javimone231,
6628,germandlcruz,"Cali,Colombia"
6629,CARLOSGSOSSAB,BOGOTA
6630,Jessica50125969,
6631,daniarias7,"Medellín, Colombia"
6632,alortega007,"Bogotá, D.C., Colombia"
6633,maruchacruz,
6634,jhontabares,Medellin
6635,JohaFuentes,
6636,JorgeMAguirreM1,
6637,MisiaAngurrias,
6638,Erfernanda1,
6639,Gutiz03036175,
6640,wlizarazo67,Bucaramanga
6641,BancoAAlimentos,Calle 19a # 32-50 Bogotá
6642,VickyGalloC,
6643,MinNacional,"Bogotá, D.C., Colombia"
6644,PSDomingoSavio,"Bogotá, D.C., Colombia"
6645,rpegazo,R/ al uribista: Elano de+madre
6646,josebarreiro11,
6647,anamilenamonta6,
6648,Lic_DanteGuty,
6649,duniasoad,Bogotá
6650,yalesmes,Bogotá. Colombia
6651,ValdesIvone,
6652,Calcor70,
6653,Oswaldo35895700,
6654,Macriscabe8591,"Bogotá, D.C., Colombia"
6655,frenteafrente13,Colombia
6656,EliasLavoz1,Bogota
6657,Alberto07644104,
6658,Luismacondo,
6659,_Mesther_,Colombia
6660,SENECA10,Barranquilla - Colombia
6661,Noticias_24_,
6662,Snchz77Mike,
6663,monik_soto,Aquí y allá 💫
6664,EdgarMMDircom,"Bogotá, D.C., Colombia"
6665,WRadioColombia,Colombia
6666,Fervemu60,
6667,JuanRam886,Plantación adentro
6668,MARCOS0846,Colombia
6669,CienfuegoMeli,
6670,aristobulo2008,Colombia
6671,Periodista2066,Bogotá- Colombia
6672,henryadolfo,"Cartagena, Colombia"
6673,HarveyRodSan,"Envigado, Colombia"
6674,Guevaracarlos94,"Corozal, Colombia"
6675,Migue_L_ez,"Valle de los halcones, Suesca."
6676,Erosbarbery,
6677,dmsalazar83,
6678,bertgodi,Colombia
6679,MaoVidalGarcia,
6680,Vans690,"Bogotá, D.C., Colombia"
6681,elprofejairo89,Bogotá
6682,ANDRES2007UK,Reino Unido
6683,Daniel24168346,
6684,HColombia62,
6685,ArbeyTacha,"Bogotá, Colombia"
6686,estefaniameira,
6687,luisesilvam,colombia
6688,oemolina,"Bogotá, D.C., Colombia"
6689,equetextra,"Bucaramanga, Colombia"
6690,vetjaimecardo,
6691,henrygonzala54,"Pereira, Colombia"
6692,Dolordepatria15,
6693,Ita_DLeon,
6694,juanponate,
6695,canori493,"Bogotá, D.C., Colombia"
6696,jumivito1979,"Ariguaní, Colombia"
6697,Gloria790310,"Bogotá, D.C., Colombia"
6698,Tercer_Canal,
6699,GmLibar,
6700,dorianlavey,☆COLOMBIA☆
6701,AlirioUribeMuoz,Bogotá
6702,alejogutierrez,"Boyacá, Colombia"
6703,NoticiasStaMta,"Santa Marta, Colombia"
6704,sebastianUtobon,
6705,oval1,Bogota 
6706,JairoOrtegaMD,"Bogotá, D.C., Colombia"
6707,aceromora,"Bogotá, Colombia"
6708,LaTuMerced,"Bogotá, D.C., Colombia"
6709,danipalaciocom,Bogota - Colombia
6710,Lilimedinacyah1,"Bogotá, D.C., Colombia"
6711,82Mapy,
6712,OneDigitalG,"Bogotá, D.C., Colombia"
6713,Un_tragito_y_ya,"Santander, Colombia"
6714,HLerma1,Planeta: tierra
6715,MarcoAdrian10,
